,total_perc_change,new_case_count_sum,religion,civic,charitable,fraternal,union,voteage,local,state,federal,politicalacts,ethnic,ethnichpn,education,incomeequal,employ,genderincome,language,commu,nonelder
"Troup County, Georgia",-0.046527384,1227,0.1267126,0.07063332,0.33518004,0.35687733,0.3728395,0.5138814,0.21074629,0.09227832,0.042992547,0.20029028,0.34512752,0.88054186,0.6130346,0.47260273,0.47058827,0.08321464,0.94811535,0.8634242,0.9996416
"Amador County, California",-0.046522581,524,0.06047492,0.07063332,0.57756233,0.44981414,0.42469135,0.6758132,0.25223842,0.20561531,0.047337007,0.46589258,0.70304316,0.5802388,0.62118125,0.56164384,0.30795845,0.02068472,0.91265905,0.9920045,0.99904716
"Warren County, Tennessee",-0.046278586,380,0.20073494,0.05976666,0.4293629,0.3141264,0.44938272,0.5297256,0.18920626,0.049343318,0.04012826,0.425254,0.84974414,0.713535,0.5814664,0.41324198,0.44867358,0.087357044,0.9231712,0.87613374,0.999277
"Beaufort County, South Carolina",-0.045722267,2819,0.03314622,0.08693332,0.5470914,0.3605948,0.27901235,0.5350642,0.13459273,0.057260737,0.17539373,0.574746,0.46143043,0.6029459,0.6965377,0.39726025,0.43713957,0.032634974,0.8618198,0.94084805,0.999767
"Sutter County, California",-0.04563541,1478,0.024005339,0.08693332,0.20498616,0.24907063,0.4074074,0.34636125,0.23491874,0.09826014,0.08921506,0.24383163,0.30347568,0.19762474,0.6354379,0.5045662,0.40369087,0.038138747,0.64039594,0.92526466,0.9997526
"Steuben County, New York",-0.04555818,1368,0.09013994,0.09779999,0.5235457,0.2007435,0.45679012,0.58669424,0.21665847,0.103556626,0.1000399,0.34833091,0.8875062,0.9462076,0.5641548,0.4931507,0.49250287,0.050481975,0.95646554,0.8843792,0.99970627
"Hocking County, Ohio",-0.045334908,282,0.12504394,0.06519999,0.29501384,0.17100371,0.34320986,0.59534365,0.1668267,0.12230216,0.02677048,0.28156748,0.933769,0.975205,0.60285133,0.5684931,0.46251443,0.14684916,0.9833806,0.7714781,0.9990396
"Huntington County, Indiana",-0.045103468,813,0.12436522,0.06519999,0.3933518,0.30669144,0.44938272,0.5938769,0.1410995,0.022391802,0.03997327,0.28447026,0.93444556,0.93330675,0.6608961,0.56621003,0.5340254,0.2145536,0.98035026,0.90861964,0.9992816
"McKean County, Pennsylvania",-0.044991588,755,0.11708858,0.07606666,0.34210527,0.33643124,0.3234568,0.63542837,0.15193605,0.06445084,0.08197185,0.28301886,0.8885925,0.93364066,0.5621181,0.5114155,0.44175318,0.1156975,0.96927667,0.9464775,0.9993138
"Dinwiddie County, Virginia",-0.044833595,380,0.08797066,0.03803333,0.25900277,0.267658,0.48395061,0.59668416,0.19011977,0.16766658,0.23185894,0.19883889,0.390074,0.90738297,0.58859473,0.56164384,0.5063437,0.12506598,0.9692815,0.7112965,0.99908304
